checking_account,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate,personal_status,other_debtors,residence_since,property,age_years,other_installments,housing,existing_credits,job,num_dependents,telephone,foreign_worker,default
no_checking,50,delayed,education,9098,less_100,less_1yr,1,male_single,none,2,savings_insurance,52,none,own,4,skilled,1,none,yes,0
over_200,15,existing_paid,radio_tv,16799,100_to_500,4_to_7yr,3,male_single,none,2,savings_insurance,53,none,free,1,unskilled_resident,1,none,yes,1
0_to_200,65,existing_paid,domestic,13386,less_100,over_7yr,4,female_div,none,3,car,67,bank,own,2,highly_qualified,2,none,yes,1
less_0,11,existing_paid,others,839,less_100,less_1yr,4,male_single,none,3,real_estate,34,stores,own,1,unskilled_resident,2,yes,yes,1
no_checking,24,existing_paid,repairs,6759,less_100,over_7yr,4,male_single,none,4,no_property,58,none,own,2,skilled,1,none,yes,1
no_checking,28,existing_paid,retraining,7943,less_100,1_to_4yr,1,male_single,none,2,real_estate,68,none,own,3,skilled,2,none,yes,0
no_checking,15,existing_paid,furniture,9704,less_100,over_7yr,4,male_single,none,1,real_estate,65,none,free,1,skilled,1,none,yes,1
0_to_200,18,existing_paid,repairs,16705,less_100,4_to_7yr,1,male_single,none,2,savings_insurance,57,stores,own,1,skilled,1,none,yes,1
less_0,62,critical,others,11958,less_100,1_to_4yr,1,female_div,none,1,savings_insurance,45,bank,own,1,skilled,1,yes,yes,0
0_to_200,29,existing_paid,radio_tv,13192,less_100,less_1yr,4,female_div,none,1,real_estate,59,none,own,2,skilled,1,none,no,1
no_checking,29,delayed,others,16902,over_1000,1_to_4yr,2,female_div,none,1,real_estate,56,bank,own,4,highly_qualified,1,none,yes,1
over_200,50,existing_paid,education,10218,less_100,less_1yr,2,male_married,none,4,real_estate,68,none,own,1,skilled,2,yes,yes,1
0_to_200,35,critical,domestic,2712,500_to_1000,less_1yr,4,male_married,none,3,car,68,stores,own,4,unskilled_resident,2,none,yes,1
no_checking,13,existing_paid,retraining,9710,less_100,less_1yr,2,male_married,none,3,no_property,43,none,own,2,skilled,1,yes,yes,1
no_checking,19,existing_paid,business,1265,no_known_savings,1_to_4yr,3,male_single,none,4,savings_insurance,44,none,own,1,highly_qualified,2,none,yes,1
no_checking,20,existing_paid,education,9525,less_100,4_to_7yr,3,male_single,none,3,car,74,stores,own,2,highly_qualified,1,yes,yes,1
no_checking,26,critical,repairs,13519,less_100,less_1yr,1,male_single,none,4,car,32,none,own,4,unskilled_resident,2,yes,yes,0
less_0,29,existing_paid,education,656,less_100,less_1yr,2,male_div,none,2,real_estate,32,none,free,4,skilled,2,none,yes,1
less_0,10,existing_paid,repairs,7634,no_known_savings,4_to_7yr,3,male_married,none,4,no_property,32,none,own,1,unskilled_resident,1,yes,yes,1
no_checking,17,existing_paid,business,11518,500_to_1000,less_1yr,4,female_div,none,3,no_property,43,none,own,4,skilled,2,none,yes,1
less_0,10,existing_paid,car,17619,100_to_500,less_1yr,2,male_single,none,3,real_estate,54,none,own,3,skilled,1,yes,yes,1
no_checking,12,existing_paid,retraining,12045,less_100,less_1yr,3,male_married,none,2,real_estate,22,none,free,3,highly_qualified,2,none,yes,1
no_checking,51,existing_paid,furniture,4735,no_known_savings,over_7yr,3,male_single,none,4,real_estate,65,none,own,1,skilled,1,yes,yes,1
no_checking,62,critical,others,9151,no_known_savings,over_7yr,4,male_single,none,2,real_estate,33,bank,own,2,highly_qualified,1,none,yes,1
less_0,42,existing_paid,car,2868,no_known_savings,1_to_4yr,1,male_single,none,1,no_property,50,bank,own,2,unskilled_nonresident,1,yes,yes,1
0_to_200,21,existing_paid,education,9853,less_100,4_to_7yr,4,male_single,none,4,savings_insurance,36,none,own,2,unskilled_resident,1,yes,yes,1
no_checking,62,critical,others,7178,500_to_1000,1_to_4yr,1,male_single,none,2,no_property,32,none,own,3,skilled,1,yes,yes,1
less_0,20,critical,car,5618,less_100,4_to_7yr,3,male_single,none,2,no_property,19,none,free,4,skilled,1,none,yes,0
less_0,17,delayed,domestic,4871,no_known_savings,4_to_7yr,1,male_single,none,3,car,60,none,own,3,highly_qualified,2,none,yes,1
no_checking,34,existing_paid,domestic,14969,less_100,1_to_4yr,3,female_div,none,4,car,38,none,own,4,skilled,1,none,yes,1
less_0,27,existing_paid,others,11376,less_100,less_1yr,3,male_div,none,1,real_estate,28,none,own,3,skilled,2,none,yes,1
no_checking,63,existing_paid,repairs,7816,less_100,unemployed,2,female_div,none,1,savings_insurance,28,none,own,2,skilled,1,none,yes,0
no_checking,48,existing_paid,repairs,12556,less_100,1_to_4yr,1,male_single,none,4,car,42,none,rent,2,skilled,2,none,yes,1
over_200,6,existing_paid,education,15336,less_100,over_7yr,1,female_div,none,4,real_estate,52,none,own,2,highly_qualified,1,none,yes,1
over_200,40,critical,car,17637,no_known_savings,1_to_4yr,1,male_div,none,2,real_estate,46,none,own,1,skilled,1,none,yes,1
0_to_200,46,delayed,car,18269,no_known_savings,over_7yr,4,male_single,none,3,no_property,45,bank,own,1,skilled,2,none,yes,0
no_checking,43,existing_paid,others,10140,over_1000,over_7yr,2,male_single,none,3,car,58,stores,own,4,skilled,1,none,yes,1
no_checking,58,critical,radio_tv,8345,less_100,less_1yr,2,male_single,none,3,real_estate,19,none,own,1,skilled,1,none,yes,0
0_to_200,42,critical,domestic,12969,no_known_savings,4_to_7yr,2,male_single,none,4,car,51,none,rent,3,skilled,1,yes,yes,1
less_0,18,existing_paid,car,10533,less_100,4_to_7yr,4,female_div,none,3,no_property,22,none,own,3,unskilled_resident,1,none,yes,1
no_checking,7,existing_paid,others,14481,no_known_savings,over_7yr,1,male_div,none,2,savings_insurance,25,bank,own,4,unskilled_resident,2,none,yes,1
less_0,28,no_credits,business,14948,less_100,over_7yr,1,male_single,co-applicant,4,real_estate,27,none,free,4,highly_qualified,1,none,yes,1
no_checking,16,all_paid,furniture,17707,100_to_500,4_to_7yr,1,female_div,none,4,no_property,34,none,free,2,skilled,2,none,yes,0
0_to_200,36,existing_paid,business,5434,less_100,less_1yr,2,female_div,co-applicant,3,savings_insurance,23,none,free,1,skilled,1,yes,yes,1
no_checking,19,existing_paid,retraining,2652,less_100,4_to_7yr,2,male_married,guarantor,1,real_estate,52,bank,own,2,skilled,1,none,yes,1
0_to_200,45,existing_paid,education,5145,less_100,less_1yr,3,male_single,none,1,savings_insurance,41,none,rent,1,highly_qualified,1,none,yes,1
no_checking,69,existing_paid,car,11654,less_100,4_to_7yr,4,male_div,none,2,no_property,61,bank,own,1,unskilled_resident,1,yes,no,1
less_0,58,critical,retraining,15411,100_to_500,over_7yr,4,male_single,none,3,real_estate,68,none,rent,4,unskilled_resident,2,yes,yes,0
less_0,45,existing_paid,retraining,9593,100_to_500,1_to_4yr,2,female_div,none,3,real_estate,43,none,own,2,skilled,1,none,yes,1
no_checking,37,existing_paid,others,10887,no_known_savings,4_to_7yr,3,male_single,none,4,real_estate,69,stores,own,2,unskilled_resident,1,none,yes,1
over_200,33,existing_paid,car,2206,less_100,1_to_4yr,1,male_single,guarantor,4,no_property,31,none,own,1,unskilled_resident,1,none,yes,1
0_to_200,16,existing_paid,furniture,7273,less_100,1_to_4yr,2,female_div,none,3,real_estate,42,bank,own,1,highly_qualified,2,none,yes,1
over_200,16,existing_paid,others,14312,over_1000,1_to_4yr,4,male_single,none,4,car,29,none,rent,4,unskilled_nonresident,2,none,yes,1
0_to_200,21,critical,others,14583,less_100,4_to_7yr,4,male_single,none,3,no_property,70,none,rent,3,skilled,2,yes,yes,1
less_0,35,delayed,education,4157,over_1000,over_7yr,4,male_single,none,2,real_estate,69,none,rent,2,skilled,2,none,yes,1
0_to_200,42,delayed,education,1057,less_100,over_7yr,1,female_div,none,4,no_property,35,none,rent,2,skilled,1,yes,yes,1
no_checking,49,critical,domestic,14281,less_100,less_1yr,4,male_single,none,3,no_property,55,none,rent,4,skilled,1,none,yes,0
no_checking,32,critical,domestic,5077,less_100,over_7yr,1,female_div,none,4,no_property,31,none,own,4,skilled,2,none,yes,1
no_checking,65,existing_paid,repairs,13949,over_1000,4_to_7yr,1,male_single,none,2,real_estate,45,none,own,2,unskilled_resident,1,yes,yes,1
no_checking,65,critical,radio_tv,4774,100_to_500,less_1yr,1,male_single,none,4,car,38,stores,own,2,unskilled_resident,1,none,yes,0
no_checking,60,existing_paid,car,15443,no_known_savings,unemployed,2,male_single,none,3,no_property,51,none,own,1,skilled,2,none,yes,1
no_checking,19,delayed,car,16473,less_100,less_1yr,1,male_single,none,4,no_property,60,none,own,3,skilled,1,none,yes,1
0_to_200,59,all_paid,retraining,5563,less_100,over_7yr,3,male_single,none,4,real_estate,50,none,free,2,unskilled_resident,2,none,yes,0
no_checking,13,critical,car,13848,no_known_savings,4_to_7yr,4,male_single,none,3,no_property,26,none,own,4,highly_qualified,2,none,yes,1
no_checking,33,existing_paid,car,13308,less_100,4_to_7yr,2,male_married,none,1,savings_insurance,74,none,own,1,highly_qualified,2,none,yes,0
less_0,28,existing_paid,radio_tv,17391,less_100,less_1yr,4,female_div,none,4,real_estate,47,none,free,1,skilled,2,none,yes,1
no_checking,8,existing_paid,domestic,5137,100_to_500,4_to_7yr,1,male_single,none,4,savings_insurance,58,none,own,4,unskilled_resident,2,none,yes,1
0_to_200,68,critical,domestic,4104,less_100,unemployed,2,male_single,none,2,no_property,37,none,rent,4,skilled,2,yes,no,0
no_checking,52,existing_paid,furniture,12708,100_to_500,1_to_4yr,3,male_div,none,1,savings_insurance,24,bank,own,1,skilled,1,none,yes,1
over_200,6,existing_paid,car,14786,no_known_savings,1_to_4yr,1,male_single,none,2,car,62,none,rent,4,unskilled_resident,1,none,yes,1
0_to_200,48,existing_paid,radio_tv,3808,less_100,less_1yr,4,male_single,none,3,no_property,57,none,rent,1,unskilled_resident,1,yes,yes,1
no_checking,17,critical,domestic,10022,less_100,over_7yr,3,female_div,none,3,savings_insurance,66,none,rent,4,skilled,2,yes,yes,1
no_checking,33,critical,radio_tv,17595,less_100,less_1yr,1,female_div,none,2,car,59,none,free,1,highly_qualified,2,none,yes,0
0_to_200,71,existing_paid,business,3825,no_known_savings,4_to_7yr,3,female_div,none,4,savings_insurance,39,stores,free,2,skilled,2,none,yes,1
0_to_200,21,existing_paid,car,2668,less_100,1_to_4yr,1,male_single,guarantor,1,savings_insurance,40,none,own,2,unskilled_resident,1,yes,yes,1
0_to_200,65,existing_paid,furniture,4448,less_100,1_to_4yr,2,male_single,none,2,car,60,none,own,4,skilled,1,none,yes,0
0_to_200,40,existing_paid,retraining,1251,less_100,less_1yr,1,female_div,none,2,no_property,28,none,free,3,skilled,2,yes,yes,1
no_checking,28,existing_paid,domestic,7369,less_100,unemployed,2,male_single,none,3,car,28,bank,own,2,unskilled_resident,2,yes,yes,1
no_checking,51,critical,business,9923,less_100,over_7yr,1,male_single,none,4,no_property,70,bank,own,1,unskilled_resident,2,none,yes,0
no_checking,68,existing_paid,radio_tv,5566,100_to_500,less_1yr,1,male_single,none,1,real_estate,47,none,own,3,skilled,2,none,yes,1
0_to_200,56,critical,education,16494,500_to_1000,over_7yr,4,male_single,none,2,real_estate,34,none,own,1,skilled,2,yes,yes,1
less_0,18,existing_paid,others,17056,less_100,over_7yr,3,male_married,none,1,savings_insurance,19,none,own,1,skilled,1,none,yes,1
no_checking,52,existing_paid,car,12123,less_100,less_1yr,3,female_div,none,1,real_estate,35,bank,own,2,skilled,2,none,yes,1
no_checking,71,all_paid,car,4516,no_known_savings,less_1yr,3,female_div,guarantor,2,real_estate,48,none,own,4,skilled,2,none,yes,0
no_checking,15,critical,business,7799,over_1000,4_to_7yr,1,male_single,none,1,car,44,bank,own,4,highly_qualified,2,yes,yes,1
no_checking,62,critical,radio_tv,10839,no_known_savings,over_7yr,1,male_single,none,3,real_estate,71,stores,own,1,skilled,2,none,yes,0
0_to_200,40,critical,repairs,1907,less_100,over_7yr,1,male_single,none,4,real_estate,64,none,rent,2,skilled,1,yes,yes,1
less_0,64,critical,car,7013,less_100,1_to_4yr,2,male_single,none,4,car,37,none,own,1,skilled,2,yes,yes,0
0_to_200,46,critical,repairs,3414,less_100,4_to_7yr,2,male_married,none,4,car,71,bank,rent,3,skilled,2,none,yes,1
less_0,42,existing_paid,education,8729,no_known_savings,less_1yr,4,male_single,none,3,no_property,39,none,own,1,unskilled_nonresident,2,yes,yes,1
no_checking,59,critical,business,5987,100_to_500,over_7yr,1,male_single,none,3,car,35,none,own,2,highly_qualified,1,none,yes,1
0_to_200,66,critical,radio_tv,18081,no_known_savings,over_7yr,3,male_single,none,3,savings_insurance,64,bank,own,1,unskilled_resident,2,yes,yes,0
0_to_200,49,existing_paid,radio_tv,6259,less_100,less_1yr,3,female_div,none,4,no_property,58,stores,free,2,skilled,1,none,yes,1
less_0,14,existing_paid,others,17241,no_known_savings,1_to_4yr,4,male_single,none,1,no_property,39,none,own,4,skilled,2,none,yes,0
0_to_200,65,existing_paid,domestic,4802,no_known_savings,less_1yr,3,male_single,none,3,real_estate,71,bank,free,2,skilled,2,yes,yes,1
less_0,28,critical,domestic,18398,500_to_1000,less_1yr,4,male_single,none,2,real_estate,59,none,own,3,skilled,2,none,yes,1
less_0,55,existing_paid,retraining,9667,less_100,over_7yr,1,male_div,none,3,car,58,bank,rent,2,skilled,2,yes,yes,1
less_0,7,critical,furniture,9471,100_to_500,1_to_4yr,3,male_single,none,2,car,63,none,free,3,skilled,2,yes,yes,0
no_checking,62,critical,business,2921,less_100,less_1yr,1,male_married,none,4,no_property,67,stores,own,3,unskilled_resident,2,none,yes,0
no_checking,23,existing_paid,education,6769,no_known_savings,1_to_4yr,2,female_div,none,2,car,37,none,own,1,highly_qualified,2,none,yes,1
no_checking,66,critical,radio_tv,4212,over_1000,over_7yr,3,male_single,none,3,car,25,none,own,3,skilled,2,yes,yes,1
less_0,57,existing_paid,others,12984,less_100,1_to_4yr,2,female_div,none,3,no_property,35,none,own,2,skilled,2,none,yes,1
no_checking,60,existing_paid,repairs,13372,100_to_500,1_to_4yr,3,male_single,none,1,car,19,none,rent,4,skilled,1,yes,yes,1
less_0,44,delayed,business,3972,no_known_savings,less_1yr,1,male_married,none,4,real_estate,55,none,own,2,unskilled_resident,1,yes,yes,0
0_to_200,6,existing_paid,retraining,5156,100_to_500,over_7yr,4,male_single,none,2,no_property,24,none,rent,4,skilled,1,yes,yes,1
no_checking,9,critical,business,7513,no_known_savings,over_7yr,1,male_single,none,4,real_estate,44,bank,own,3,skilled,1,yes,yes,1
less_0,8,existing_paid,retraining,13949,less_100,less_1yr,1,male_single,none,3,no_property,20,none,own,1,skilled,2,none,yes,1
0_to_200,8,no_credits,radio_tv,11338,less_100,less_1yr,1,male_single,none,1,no_property,50,none,own,3,skilled,2,yes,yes,1
no_checking,57,existing_paid,furniture,1058,500_to_1000,unemployed,3,male_married,none,3,car,66,none,rent,3,unskilled_resident,1,yes,yes,1
no_checking,50,all_paid,retraining,9420,500_to_1000,less_1yr,4,male_single,none,3,car,72,none,own,4,skilled,1,yes,yes,1
no_checking,52,critical,radio_tv,16510,100_to_500,1_to_4yr,2,female_div,none,3,savings_insurance,23,none,own,2,unskilled_resident,1,none,yes,0
no_checking,12,existing_paid,radio_tv,17359,500_to_1000,over_7yr,1,male_single,none,2,savings_insurance,55,none,own,1,unskilled_nonresident,1,none,yes,1
0_to_200,23,critical,furniture,10943,less_100,1_to_4yr,3,male_married,none,3,savings_insurance,49,none,own,1,skilled,2,yes,yes,0
